score,taget
1.0,1.0
1.0,1.0
0.322,1.0
0.256,1.0
0.734,1.0
0.441,1.0
0.425,1.0
0.568,1.0
0.288,1.0
0.467,1.0
1.0,1.0
1.0,1.0
0.627,1.0
0.705,1.0
0.948,1.0
0.341,1.0
0.773,1.0
0.372,1.0
1.0,1.0
0.957,1.0
0.396,1.0
0.835,1.0
0.584,1.0
0.551,1.0
0.874,1.0
0.556,1.0
0.492,1.0
0.807,1.0
0.683,1.0
0.647,1.0
0.973,1.0
0.857,1.0
0.888,1.0
0.474,1.0
0.827,1.0
0.031,1.0
0.556,1.0
1.0,1.0
0.772,1.0
0.804,1.0
0.751,1.0
0.905,1.0
0.5,1.0
0.269,1.0
0.377,1.0
0.536,1.0
0.929,1.0
0.171,1.0
0.184,1.0
0.404,1.0
0.754,1.0
0.451,1.0
0.85,1.0
0.541,1.0
0.669,1.0
0.869,1.0
0.858,1.0
0.526,1.0
0.904,1.0
0.496,1.0
0.973,1.0
0.161,1.0
0.68,1.0
0.271,1.0
0.551,1.0
0.85,1.0
0.69,1.0
0.573,1.0
0.523,1.0
0.954,1.0
0.654,1.0
0.37,1.0
0.664,1.0
0.799,1.0
1.0,1.0
0.474,1.0
1.0,1.0
0.896,1.0
0.933,1.0
0.938,1.0
0.993,1.0
0.541,1.0
0.883,1.0
1.0,1.0
0.981,1.0
0.646,1.0
0.2,1.0
0.853,1.0
1.0,1.0
0.844,1.0
0.936,1.0
0.876,1.0
0.585,1.0
0.789,1.0
1.0,1.0
0.321,1.0
0.927,1.0
0.185,1.0
0.873,1.0
0.933,1.0
0.973,1.0
0.208,1.0
0.343,1.0
1.0,1.0
0.722,1.0
0.629,1.0
0.122,1.0
0.821,1.0
0.587,1.0
1.0,1.0
0.84,1.0
0.515,1.0
0.291,1.0
0.433,1.0
0.984,1.0
0.178,1.0
0.617,1.0
0.965,1.0
0.192,1.0
0.37,1.0
1.0,1.0
0.531,1.0
0.728,1.0
0.615,1.0
0.984,1.0
0.857,1.0
0.28,1.0
0.142,1.0
0.852,1.0
0.913,1.0
1.0,1.0
0.765,1.0
0.536,1.0
1.0,1.0
0.817,1.0
0.5,1.0
0.579,1.0
0.615,1.0
0.779,1.0
0.244,1.0
0.288,1.0
0.844,1.0
0.802,1.0
0.927,1.0
0.443,1.0
0.953,1.0
0.529,1.0
0.976,1.0
0.933,1.0
0.594,1.0
0.934,1.0
1.0,1.0
0.799,1.0
0.897,1.0
0.771,1.0
0.876,1.0
0.788,1.0
1.0,1.0
0.545,1.0
1.0,1.0
0.647,1.0
0.786,1.0
0.904,1.0
0.671,1.0
0.939,1.0
0.516,1.0
0.621,1.0
0.398,1.0
0.922,1.0
0.546,1.0
0.781,1.0
0.539,1.0
0.523,1.0
0.348,1.0
0.496,1.0
0.755,1.0
0.897,1.0
0.759,1.0
0.541,1.0
0.785,1.0
0.869,1.0
0.569,1.0
0.966,1.0
0.955,1.0
0.0,1.0
1.0,1.0
0.642,1.0
0.584,1.0
0.384,1.0
0.9,1.0
1.0,1.0
0.928,1.0
0.781,1.0
0.278,1.0
0.258,1.0
0.345,1.0
1.0,1.0
0.521,1.0
0.492,1.0
0.149,1.0
1.0,1.0
0.911,1.0
0.737,1.0
0.641,1.0
0.908,1.0
0.522,1.0
0.416,1.0
0.676,1.0
0.666,1.0
0.705,1.0
1.0,1.0
0.507,1.0
0.266,1.0
1.0,1.0
0.881,1.0
0.496,1.0
